+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                      URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY) | SUM(BODY)  | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/4fb01ac3f                  | 0.176  | 0.176  | 0.176   | 0.176  | 0.176  | 0.176  | 0.176  | 0.000  | 1514.000  | 1514.000  | 1514.000   | 1514.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/3b60ac167                  | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1022.000  | 1022.000  | 1022.000   | 1022.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /index.html                                   | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 479.000   | 479.000   | 479.000    | 479.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                           | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 33296.000 | 33296.000 | 33296.000  | 33296.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                         | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 4868.000  | 4868.000  | 4868.000   | 4868.000  |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /api/player/player/9fa52984                   | 6.252  | 6.252  | 6.252   | 6.252  | 6.252  | 6.252  | 6.252  | 0.000  | 0.000     | 0.000     | 0.000      | 0.000     |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /api/player/player/9fa5296c                   | 5.648  | 5.648  | 5.648   | 5.648  | 5.648  | 5.648  | 5.648  | 0.000  | 0.000     | 0.000     | 0.000      | 0.000     |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /api/player/player/9fa52ac1                   | 5.404  | 5.404  | 5.404   | 5.404  | 5.404  | 5.404  | 5.404  | 0.000  | 0.000     | 0.000     | 0.000      | 0.000     |
| 1     | 0   | 0   | 0   | 1   | 0   | POST   | /api/organizer/competition/9fa53abc/score     | 11.064 | 11.064 | 11.064  | 11.064 | 11.064 | 11.064 | 11.064 | 0.000  | 0.000     | 0.000     | 0.000      | 0.000     |
